WP 1/3 Круиз     X:  +0.0 Y:  +0.0 Z:+0.00 V:+0.00 Vz:+0.00 D:30.0м dZ:+3.00 RPY:+0/+0/+0° Сонар:чисто | СОНАР[лучи:0 бл:infм L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:ODO mag:нет дно:-- имю:нет сонар:нет] | Глубина:БАКИ+РУЛИ (демо) | руль в:+0° гор:+1/+1° B:49%
WP 1/3 Круиз     X:  +0.0 Y:  +0.0 Z:+0.00 V:+0.00 Vz:+0.00 D:30.0м dZ:+3.00 RPY:+0/+0/+0° Сонар:чисто | СОНАР[лучи:0 бл:infм L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:ODO mag:нет дно:-- имю:нет сонар:нет] | Глубина:БАКИ+РУЛИ (демо) | руль в:+0° гор:+22/+22° B:49%
WP 1/3 Круиз     X:  +0.0 Y:  +0.0 Z:+0.00 V:+0.00 Vz:+0.00 D:30.0м dZ:+3.00 RPY:+0/+0/+0° Сонар:чисто | СОНАР[лучи:0 бл:infм L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:ODO mag:нет дно:-- имю:нет сонар:нет] | Глубина:БАКИ+РУЛИ (демо) | руль в:+0° гор:+29/+34° B:48%
WP 1/3 Круиз     X:  +0.0 Y:  +0.0 Z:+0.00 V:+0.00 Vz:+0.00 D:30.0м dZ:+3.00 RPY:+0/+0/+0° Сонар:чисто | СОНАР[лучи:0 бл:infм L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:ODO mag:нет дно:-- имю:нет сонар:нет] | Глубина:БАКИ+РУЛИ (демо) | руль в:+0° гор:+29/+34° B:48%
WP 1/3 Круиз     X:  +0.0 Y:  +0.0 Z:+0.00 V:+0.00 Vz:+0.00 D:30.0м dZ:+3.00 RPY:+0/+0/+0° Сонар:чисто | СОНАР[лучи:0 бл:infм L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:ODO mag:нет дно:-- имю:нет сонар:нет] | Глубина:БАКИ+РУЛИ (демо) | руль в:+0° гор:+29/+34° B:47%
WP 1/3 Круиз     X:  +0.0 Y:  +0.0 Z:+0.00 V:+0.00 Vz:+0.00 D:30.0м dZ:+3.00 RPY:+0/+0/+0° Сонар:чисто | СОНАР[лучи:0 бл:infм L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:ODO mag:нет дно:-- имю:нет сонар:нет] | Глубина:БАКИ+РУЛИ (демо) | руль в:+0° гор:+29/+34° B:47%
WP 1/3 Круиз     X:  +0.0 Y:  +0.0 Z:+0.00 V:+0.00 Vz:+0.00 D:30.0м dZ:+3.00 RPY:+0/+0/+0° Сонар:чисто | СОНАР[лучи:0 бл:infм L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:ODO mag:нет дно:-- имю:нет сонар:нет] | Глубина:БАКИ+РУЛИ (демо) | руль в:+0° гор:+29/+34° B:46%
WP 1/3 Круиз     X:  +0.0 Y:  +0.0 Z:+0.00 V:+0.00 Vz:+0.00 D:30.0м dZ:+3.00 RPY:+0/+0/+0° Сонар:чисто | СОНАР[лучи:0 бл:infм L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:ODO mag:нет дно:-- имю:нет сонар:нет] | Глубина:БАКИ+РУЛИ (демо) | руль в:+0° гор:+29/+34° B:46%
WP 1/3 Круиз     X:  +0.0 Y:  +0.0 Z:+0.00 V:+0.00 Vz:+0.00 D:30.0м dZ:+3.00 RPY:+0/+0/+0° Сонар:чисто | СОНАР[лучи:0 бл:infм L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:ODO mag:нет дно:-- имю:нет сонар:нет] | Глубина:БАКИ+РУЛИ (демо) | руль в:+0° гор:+29/+34° B:45%
WP 1/3 Круиз     X:  +0.0 Y:  +0.0 Z:+0.00 V:+0.00 Vz:+0.00 D:30.0м dZ:+3.00 RPY:+0/+0/+0° Сонар:чисто | СОНАР[лучи:0 бл:infм L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:ODO mag:нет дно:-- имю:нет сонар:нет] | Глубина:БАКИ+РУЛИ (демо) | руль в:+0° гор:+29/+34° B:45%
WP 1/3 Круиз     X:  +0.0 Y:  +0.0 Z:+0.00 V:+0.00 Vz:+0.00 D:30.0м dZ:+3.00 RPY:+0/+0/+0° Сонар:чисто | СОНАР[лучи:0 бл:infм L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:ODO mag:нет дно:-- имю:нет сонар:нет] | Глубина:БАКИ+РУЛИ (демо) | руль в:+0° гор:+29/+34° B:45%
