t,x,y,z,vx,vz,roll_deg,pitch_deg,yaw_deg,dist2d,z_err,cross_track,phase,wp,sonar_min,avoid
0.00,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.10,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.20,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.30,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.40,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.50,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.60,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.70,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.80,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
0.90,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
1.00,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,40.000,3.000,0.000,INIT,1,,0
1.10,0.002,-0.000,-1.944,-0.001,0.053,-0.0,0.7,0.0,39.998,1.056,-0.000,INIT,1,15.66,0
1.20,0.002,-0.000,-1.940,0.000,0.057,-0.0,0.7,0.0,39.998,1.060,-0.000,INIT,1,15.67,0
1.30,0.003,-0.000,-1.934,0.002,0.062,-0.0,0.8,0.0,39.997,1.066,-0.000,NAV,1,15.66,0
1.40,0.003,-0.000,-1.929,0.004,0.065,-0.0,0.9,0.0,39.997,1.071,-0.000,NAV,1,15.66,0
1.50,0.004,-0.000,-1.922,0.004,0.068,0.0,1.1,0.0,39.996,1.078,-0.000,NAV,1,15.66,0
1.60,0.004,-0.000,-1.915,0.005,0.070,0.0,1.3,0.0,39.996,1.085,-0.000,NAV,1,15.66,0
1.70,0.005,-0.000,-1.908,0.004,0.071,0.0,1.5,0.1,39.995,1.092,-0.000,NAV,1,15.66,0
1.80,0.005,-0.000,-1.903,0.004,0.072,0.0,1.6,0.2,39.995,1.097,-0.000,NAV,1,15.66,0
1.90,0.006,-0.001,-1.895,0.003,0.072,0.0,1.6,0.3,39.994,1.105,-0.001,NAV,1,15.66,0
2.00,0.006,-0.001,-1.888,0.004,0.072,0.0,1.4,0.4,39.994,1.112,-0.001,NAV,1,15.65,0
2.10,0.007,-0.001,-1.881,0.005,0.071,0.0,1.2,0.6,39.993,1.119,-0.001,NAV,1,15.65,0
2.20,0.008,-0.001,-1.874,0.008,0.069,0.0,0.8,0.8,39.992,1.126,-0.001,NAV,1,15.65,0
